country_pt, country_en, svg_fluorish, svg_github
Brasil, Brazil, https://public.flourish.studio/country-flags/svg/br.svg, https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/br.svg
Argentina,Argentina, https://public.flourish.studio/country-flags/svg/ar.svg, https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/ar.svg
Uruguai,Uruguay,https://public.flourish.studio/country-flags/svg/uy.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/uy.svg
França,France,https://public.flourish.studio/country-flags/svg/fr.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/fr.svg
Inglaterra,England,https://public.flourish.studio/country-flags/svg/gb-eng.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/gb-eng.svg
Alemanha,Germany,https://public.flourish.studio/country-flags/svg/de.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/de.svg
Espanha,Spain,https://public.flourish.studio/country-flags/svg/es.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/es.svg
Portugal,Portugal,https://public.flourish.studio/country-flags/svg/pt.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/pt.svg
Países Baixos,Netherlands,https://public.flourish.studio/country-flags/svg/nl.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/nl.svg
Marrocos,Morocco,https://public.flourish.studio/country-flags/svg/ma.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/ma.svg
Equador,Ecuador, https://public.flourish.studio/country-flags/svg/ec.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/ec.svg
Noruega,Norway,https://public.flourish.studio/country-flags/svg/no.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/no.svg
Turquia,Turkey,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/tn.svg
Egito,Egypt, https://public.flourish.studio/country-flags/svg/eg.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/eg.svg
Senegal,Senegal,https://public.flourish.studio/country-flags/svg/sn.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/sn.svg
Tchéquia,Czech Republic,https://public.flourish.studio/country-flags/svg/cz.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/cz.svg
Canadá,Canada,https://public.flourish.studio/country-flags/svg/ca.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/ca.svg
Japão,Japan,https://public.flourish.studio/country-flags/svg/jp.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/jp.svg
Suécia,Sweden,https://public.flourish.studio/country-flags/svg/se.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/se.svg
México,Mexico,https://public.flourish.studio/country-flags/svg/mx.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/mx.svg
Costa do Marfim,Ivory Coast,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Côte_d%27Ivoire.svg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Côte_d%27Ivoire.svg
Argelia,Algeria,https://public.flourish.studio/country-flags/svg/dz.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/dz.svg
Escócia,Scotland,https://public.flourish.studio/country-flags/svg/gb-sct.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/gb-sct.svg
Colômbia,Colombia,https://public.flourish.studio/country-flags/svg/co.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/co.svg
Panamá,Panama,https://public.flourish.studio/country-flags/svg/pa.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/pa.svg
Irã,Iran,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg
Iraque,Iraq,https://public.flourish.studio/country-flags/svg/iq.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/iq.svg
Bélgica,Belgium,https://public.flourish.studio/country-flags/svg/be.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/be.svg
Arábia Saudita,Saudi Arabia,https://public.flourish.studio/country-flags/svg/sa.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/sa.svg
EUA,United States,https://public.flourish.studio/country-flags/svg/us.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/us.svg
Croácia,Croatia,https://public.flourish.studio/country-flags/svg/hr.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/hr.svg
Suíça,Switzerland,https://public.flourish.studio/country-flags/svg/ch.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/ch.svg
Áustria,Austria,https://public.flourish.studio/country-flags/svg/at.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/at.svg
Bósnia e Herzegovina,Bosnia and Herzegovina,https://public.flourish.studio/country-flags/svg/ba.svg,https://raw.githubusercontent.com/hampusborgos/country-flags/refs/heads/main/svg/ba.svg
Coreia do Sul, South Korea,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg